Bz,carrier_detuningsigma,carrier_pts,sidebanddetuning_central,sidebanddetuning_detuningsigma,sidebanddetuning_detuningpts,carrierRabi,sidebandRabi,partitionflag,partitionnumber
100,10,2,1.51,0.5,3,0.1,1,0,0
100,10,3,1.51,0.5,2,0.1,1,0,0
